company_id,as_of_date,core_product,major_customers,ai_revenue_exposure,exposure_basis,current_thesis,strongest_bear_case,source_id,confidence
MEM_TSMC,2026-07-19,"N2/N3/N4 先进制程；CoWoS；SoIC","全球无晶圆厂芯片设计公司；客户名称与收入占比受保密限制",直接-高,"先进制程与 CoWoS 直接服务 AI 加速器，管理层讨论 AI 需求和封装扩产","先进制程加先进封装的组合处于物理交付瓶颈，资本开支向收入利润转换可见度较高","高资本强度、地缘风险和客户集中；封装供给扩张后稀缺溢价可能下降",S_TSMC,0.97
MEM_SKHYNIX,2026-07-19,"HBM3E/HBM4/HBM4E；服务器 DRAM；AI SSD","全球 GPU/ASIC 厂商与服务器客户；NVIDIA 合作已披露",直接-高,"公司披露 HBM 产品、样品和客户合作，但不把全部客户收入逐一拆分","HBM 代际升级和定制化提高单位价值量，产品认证与良率构成真实瓶颈","存储价格周期、竞争者追赶和大客户议价可能令高利润难以长期维持",S_SKHYNIX,0.97
MEM_SAMSUNG,2026-07-19,"HBM4/HBM4E；DDR5；先进封装；Foundry base die","GPU/ASIC 厂商与云数据中心；AMD 合作及 NVIDIA 平台供货已披露",直接-高,"公司披露 HBM4 销售、样品计划和 AI 产品策略","存储、逻辑 base die 与封装一体化有助于追赶并承接 HBM 供给多元化","良率、认证和客户份额恢复仍是关键；集团业务复杂使 AI 利润难单独识别",S_SAMSUNG,0.94
MEM_MICRON,2026-07-19,"HBM3E/HBM4/HBM4E；服务器 DRAM；数据中心 SSD","GPU/ASIC 与服务器客户；客户名称多未逐一披露",直接-高,"公司披露 HBM 出货和 AI 时代存储需求，HBM 收入仍需结合财报跟踪","HBM 与服务器内存供需趋紧可带来价格和利润率的双重弹性","存储周期反转、扩产过快或 HBM 认证份额不达预期会迅速压低盈利",S_MICRON,0.95
PKG_ASE,2026-07-19,"VIPack；FOCoS；面板级封装；测试","芯片设计公司与 IDM；客户名称受保密限制",直接-中,"公司披露面向 AI/HPC 的先进封装平台，但 AI 收入未单列","CoWoS 外溢和异构集成复杂度上升为独立封测厂创造增量机会","先进封装资本开支高且与头部晶圆厂竞争；新产线良率和利用率决定回报",S_ASE,0.86
PKG_AMKOR,2026-07-19,"先进封装；Flip Chip；晶圆级处理与测试","领先芯片公司；前十大客户集中度已披露但名称多保密",直接-中,"计算终端占比与先进产品收入可观察，AI 数据中心收入仅在演示材料中定性披露","美国先进封装扩产与客户多元化可能承接本土供应链需求","当前毛利率显著低于核心芯片厂；资本开支和客户集中可能吞噬自由现金流",S_AMKOR,0.86
PKG_IBIDEN,2026-07-19,"高阶 ABF/IC 封装基板","CPU/GPU 等高性能芯片客户；公司仅称主要 CPU 客户",直接-高,"公司明确称 AI 服务器基板需求超过产能并公布扩产计划","大尺寸多层基板负载上升且扩产有客户预付款支持，显示瓶颈具经济约束","大客户集中、长建设周期与后续供给扩张可能导致利用率和价格回落",S_IBIDEN,0.93
NET_ARISTA,2026-07-19,"Ethernet AI fabric；EOS；高密度交换机；XPO","云厂商、AI 数据中心和大型企业；客户集中度需从财报跟踪",直接-高,"公司定位大型 AI 数据中心网络并披露高速产品","以太网 scale-out 扩张和光电协同可使网络收入增速高于服务器数量","云客户自研、白盒交换和客户集中可能压低份额与毛利率",S_ARISTA,0.94
NET_CISCO,2026-07-19,"Silicon One 系统；交换机；路由器；光学器件","Hyperscaler、企业、运营商与公共部门",直接-中,"公司披露 hyperscaler AI 基础设施订单和收入目标，传统网络收入需剔除","AI 订单已从概念变成可量化订单，Silicon One 与 optics 提供直接验证点","订单可能集中于少数大项目且毛利率低于传统组合；传统业务会稀释 AI 增速",S_CISCO,0.94
NET_CREDO,2026-07-19,"AEC；SerDes；retimer；DSP 与光连接方案","Hyperscaler、交换机和服务器平台客户；客户高度集中但名称未完整披露",直接-高,"高速连接产品直接服务 AI 数据基础设施且收入快速增长","铜互联功耗优势和速率升级可提高每 GPU 连接价值量","客户集中、AEC 竞争和光互联替代路径会造成收入与估值剧烈波动",S_CREDO,0.93
NET_ASTERA,2026-07-19,"Scorpio PCIe 交换；Aries retimer；Leo CXL；Taurus SCM","商用 GPU 平台、云厂商和 AI 服务器 OEM；部分客户未披露",直接-高,"公司披露 PCIe 6 产品推动收入并列出 AI 连接组合","机架内 scale-up 与内存连接成为 GPU 之外的带宽瓶颈，开放标准方案有扩张空间","平台依赖、客户集中与 GPU 厂商自有互联可能限制可服务市场",S_ASTERA,0.94
OPT_COHERENT,2026-07-19,"800G/1.6T/3.2T 光模块；InP EML/CW 激光器；VCSEL","云数据中心、网络 OEM 与光模块客户；NVIDIA 合作已披露",直接-高,"公司直接披露 AI 数据中心光学产品与战略采购合作","垂直整合的 InP 激光器和模块能力可同时捕捉元件稀缺与模块升级","光模块价格下降、客户双供与大额扩产可能使收入增长不转化为持续利润",S_COHERENT,0.96
OPT_LUMENTUM,2026-07-19,"EML/CW 激光器；1.6T 模块；OCS 与 CPO 光源","云厂商、光模块厂和网络设备商；具体客户多未逐一披露",直接-高,"公司产品明确面向 scale-up/out/across AI 基础设施","高功率激光和 EML 处于光互联上游，若产能受限则利润捕获可能强于纯组装","客户自研硅光、产能扩张与技术路线变化可能压低器件 ASP 和利用率",S_LUMENTUM,0.93
OPT_CIENA,2026-07-19,"WaveLogic；1600ZR/ZR+；DCI 光传输；网络自动化","云厂商、通信运营商和数据中心互联客户",直接-中,"公司披露 AI 驱动连接需求但收入同时包含传统 WAN 与运营商网络","AI 集群跨园区与跨区域扩张使 scale-across/DCl 成为比机内互联更晚的传导环节","运营商周期、供应约束和非 AI 项目占比会削弱 AI 资本开支的直接映射",S_CIENA,0.88
OPT_FABRINET,2026-07-19,"光通信精密制造；光模块组装；DCI 与高性能计算制造","光通信 OEM；客户名称和项目经济性多保密",间接,"公司披露 datacom 新客户与光通信制造增长，但 AI 收入未单列","光模块放量可通过制造外包传导为稳定出货，资本强度低于部分器件厂","制造议价权和客户集中限制毛利率；终端 AI 需求难与公司收入一一对应",S_FABRINET,0.82
OPT_INNOLIGHT,2026-07-19,"800G/1.6T 高速光模块；硅光方案","北美云与数据中心客户；公司未在公开材料完整列名",直接-高,"公司定期报告与投资者关系材料披露高速产品进展，客户映射须保持匿名","1.6T 量产与 800G 延续放量可能同时推动产品结构和盈利预期上修","客户集中、出口与贸易限制、ASP 下滑以及扩产后的供给竞争是主要反证",S_INNOLIGHT,0.90
OPT_EOPTOLINK,2026-07-19,"800G/1.6T 高速光模块；硅光与高速率研发","数据中心和通信设备客户；具体大客户名称未充分披露",直接-高,"年报披露业务结构和高速产品，AI 收入需要后续按口径核验","高端光模块需求与海外客户放量可能使收入利润继续快于行业平均","客户集中、估值拥挤、价格下降和新进入者扩产可能压缩超额利润",S_EOPTOLINK,0.88
OPT_ACCELINK,2026-07-19,"光芯片；光器件；800G/1.6T/3.2T 光模块","通信运营商、设备商和互联网厂商；客户未逐一披露",直接-中,"公司具备垂直集成并披露高速产品能力，但 AI 收入占比未单列","自有光芯片到模块的垂直能力可能在国内高速互联需求中提高利润捕获","产品验证和批量交付不等于大规模收入；传统电信业务会稀释 AI 增速",S_ACCELINK,0.86
NET_ZTE,2026-07-19,"数据中心交换机；服务器与算力产品；光网络","运营商、政企与数据中心客户；AI 集群客户结构未完整披露",直接-中,"计算收入占比已披露且高速 AI 交换产品推出，仍包含大量非 AI 业务","连接加计算组合可承接中国 AI 数据中心建设并提供 A/H 双市场映射","运营商业务周期、制裁与供应链限制、较低利润率会削弱 AI 收入的股东价值",S_ZTE,0.84
OPT_YOFC,2026-07-19,"光纤预制棒；光纤光缆；数据中心布线与部分光互联组件","运营商、数据中心和第三方客户；AI 客户与收入占比未单列",间接,"年报显示光传输和互联组件业务，但 AI 数据中心收入未独立披露","超大集群和跨数据中心连接提升光纤芯数与高规格光纤需求，可能形成后周期弹性","普通光纤供给竞争激烈且价值量低；AI 概念可能远强于实际收入和利润暴露",S_YOFC,0.78

