company,security_code,market,industry_layer,core_product,major_customers,ai_revenue_exposure,disclosed_at,current_thesis,strongest_bear_case,relationship_source
Samsung Electronics,005930,KR,HBM与先进封装,HBM4/HBM4E；DDR5；先进封装；Foundry base die,GPU/ASIC 厂商与云数据中心；AMD 合作及 NVIDIA 平台供货已披露,直接-高,2026-04-30,存储、逻辑 base die 与封装一体化有助于追赶并承接 HBM 供给多元化,良率、认证和客户份额恢复仍是关键；集团业务复杂使 AI 利润难单独识别,https://news.samsung.com/global/samsung-electronics-announces-first-quarter-2026-results
TSMC,TSM / 2330,US / TW,HBM与先进封装,N2/N3/N4 先进制程；CoWoS；SoIC,全球无晶圆厂芯片设计公司；客户名称与收入占比受保密限制,直接-高,2026-04-16,先进制程加先进封装的组合处于物理交付瓶颈，资本开支向收入利润转换可见度较高,高资本强度、地缘风险和客户集中；封装供给扩张后稀缺溢价可能下降,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/3cef85204275f94fd111485cfdf4adb3c0263c45/TSMC%201Q26%20Transcript.pdf
Alphabet,GOOGL,US,云厂商,Google Cloud；TPU；NVIDIA GPU；全球数据中心网络,Google Cloud 客户；Google DeepMind；Google Services,直接-高,2026-02-04,服务器约占技术基础设施投资的主要部分，TPU 与 GPU 并行使其同时是需求方和 ASIC 定义者,自研 TPU 提升可能减少对商用 GPU 的单位依赖；折旧与能源成本侵蚀利润,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx
Amazon,AMZN,US,云厂商,AWS；Trainium；Graviton；NVIDIA GPU,AWS 客户；Anthropic；OpenAI；企业客户,直接-高,2026-04-29,自研芯片和商用 GPU 同时扩张，AWS 是加速器、内存和网络需求的重要来源,巨额投入已显著压低自由现金流；自研芯片采用与外部客户变现可能不及预期,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/default.aspx
Meta Platforms,META,US,云厂商,自建 AI 训练/推理集群；推荐与广告模型；自研 MTIA,广告客户与平台用户；硬件供应商另行披露,直接-中,2026-04-29,资本开支指引上修且 GPU 多元化采购，可能向加速器、网络和内存形成大额订单,AI 收入不是独立分部；广告增量与基础设施投入之间的因果转换可能弱于市场叙事,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-First-Quarter-2026-Results/default.aspx
Microsoft,MSFT,US,云厂商,Azure AI 基础设施；GPU/CPU 算力；自研加速器,企业与开发者；OpenAI；具体硬件供应商组合未完整披露,直接-高,2026-04-29,短周期设备占资本开支比重高，微软是 AI 硬件需求最直接的边际资金来源之一,资本开支先压低自由现金流；容量投产后若利用率或定价不足，供应链需求可能降速,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3
Oracle,ORCL,US,云厂商,OCI GPU 超集群；云数据库；AI 基础设施,OCI 客户与 AI 模型公司；具体供应链分配未完整披露,直接-高,2026-06-15,OCI 容量扩张提供云厂商之外的新增资本来源，并可能提高多供应商议价空间,资金需求和负自由现金流显著；客户集中与长期合同回报存在兑现风险,https://investor.oracle.com/investor-news/news-details/2026/Oracle-Announces-Record-Q4-and-FY-2026-Results-Driven-by-Cloud-Infrastructure--Cloud-Applications/
Arista Networks,ANET,US,网络与光互联,Ethernet AI fabric；EOS；高密度交换机；XPO,云厂商、AI 数据中心和大型企业；客户集中度需从财报跟踪,直接-高,2026-05-05,以太网 scale-out 扩张和光电协同可使网络收入增速高于服务器数量,云客户自研、白盒交换和客户集中可能压低份额与毛利率,https://investors.arista.com/Communications/Press-Releases-and-Events/Press-Release-Detail/2026/Arista-Networks-Inc--Reports-First-Quarter-2026-Financial-Results/default.aspx
Astera Labs,ALAB,US,网络与光互联,Scorpio PCIe 交换；Aries retimer；Leo CXL；Taurus SCM,商用 GPU 平台、云厂商和 AI 服务器 OEM；部分客户未披露,直接-高,2026-05-05,机架内 scale-up 与内存连接成为 GPU 之外的带宽瓶颈，开放标准方案有扩张空间,平台依赖、客户集中与 GPU 厂商自有互联可能限制可服务市场,https://ir.asteralabs.com/news-releases/news-release-details/astera-labs-reports-first-quarter-2026-financial-results
Ciena,CIEN,US,网络与光互联,WaveLogic；1600ZR/ZR+；DCI 光传输；网络自动化,云厂商、通信运营商和数据中心互联客户,直接-中,2026-06-04,AI 集群跨园区与跨区域扩张使 scale-across/DCl 成为比机内互联更晚的传导环节,运营商周期、供应约束和非 AI 项目占比会削弱 AI 资本开支的直接映射,https://investor.ciena.com/news/news-details/2026/Ciena-Reports-Fiscal-Second-Quarter-2026-Financial-Results/default.aspx
Cisco Systems,CSCO,US,网络与光互联,Silicon One 系统；交换机；路由器；光学器件,Hyperscaler、企业、运营商与公共部门,直接-中,2026-05-13,AI 订单已从概念变成可量化订单，Silicon One 与 optics 提供直接验证点,订单可能集中于少数大项目且毛利率低于传统组合；传统业务会稀释 AI 增速,https://investor.cisco.com/news/news-details/2026/CISCO-REPORTS-THIRD-QUARTER-EARNINGS/default.aspx
Coherent,COHR,US,网络与光互联,800G/1.6T/3.2T 光模块；InP EML/CW 激光器；VCSEL,云数据中心、网络 OEM 与光模块客户；NVIDIA 合作已披露,直接-高,2026-03-17,垂直整合的 InP 激光器和模块能力可同时捕捉元件稀缺与模块升级,光模块价格下降、客户双供与大额扩产可能使收入增长不转化为持续利润,https://www.coherent.com/news/press-releases/coherent-demonstrates-next-gen-pluggable-transceiver-ofc-2026
Credo Technology,CRDO,US,网络与光互联,AEC；SerDes；retimer；DSP 与光连接方案,Hyperscaler、交换机和服务器平台客户；客户高度集中但名称未完整披露,直接-高,2026-06-01,铜互联功耗优势和速率升级可提高每 GPU 连接价值量,客户集中、AEC 竞争和光互联替代路径会造成收入与估值剧烈波动,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Technology-Group-Holding-Ltd-Reports-Fourth-Quarter-and-Fiscal-Year-2026-Financial-Results/default.aspx
Fabrinet,FN,US,网络与光互联,光通信精密制造；光模块组装；DCI 与高性能计算制造,光通信 OEM；客户名称和项目经济性多保密,间接,2026-05-04,光模块放量可通过制造外包传导为稳定出货，资本强度低于部分器件厂,制造议价权和客户集中限制毛利率；终端 AI 需求难与公司收入一一对应,https://investor.fabrinet.com/news-releases/news-release-details/fabrinet-announces-third-quarter-fiscal-year-2026-financial
Lumentum Holdings,LITE,US,网络与光互联,EML/CW 激光器；1.6T 模块；OCS 与 CPO 光源,云厂商、光模块厂和网络设备商；具体客户多未逐一披露,直接-高,2026-03-17,高功率激光和 EML 处于光互联上游，若产能受限则利润捕获可能强于纯组装,客户自研硅光、产能扩张与技术路线变化可能压低器件 ASP 和利用率,https://investor.lumentum.com/financial-news-releases/news-details/2026/Lumentum-Demonstrates-Industry-Leading-Technologies-and-Products-for-Scale-Out-Scale-Up-and-Scale-Across-AI-Infrastructure-at-OFC-2026/default.aspx
中兴通讯,000063 / 00763,A / H,网络与光互联,数据中心交换机；服务器与算力产品；光网络,运营商、政企与数据中心客户；AI 集群客户结构未完整披露,直接-中,2026-03-06,连接加计算组合可承接中国 AI 数据中心建设并提供 A/H 双市场映射,运营商业务周期、制裁与供应链限制、较低利润率会削弱 AI 收入的股东价值,https://www.zte.com.cn/global/about/news/ZTE-Reports-2025-Revenue-of-RMB-133-90-Billion-Advancing-Full-stack-AI-Capabilities.html
中际旭创,300308,A,网络与光互联,800G/1.6T 高速光模块；硅光方案,北美云与数据中心客户；公司未在公开材料完整列名,直接-高,2026-04-20,1.6T 量产与 800G 延续放量可能同时推动产品结构和盈利预期上修,客户集中、出口与贸易限制、ASP 下滑以及扩产后的供给竞争是主要反证,https://www.zj-innolight.com/index/index/inv2.html
光迅科技,002281,A,网络与光互联,光芯片；光器件；800G/1.6T/3.2T 光模块,通信运营商、设备商和互联网厂商；客户未逐一披露,直接-中,2026-04-23,自有光芯片到模块的垂直能力可能在国内高速互联需求中提高利润捕获,产品验证和批量交付不等于大规模收入；传统电信业务会稀释 AI 增速,https://www.accelink.com/lighting_your_dreams/touzizheguanxi.html
新易盛,300502,A,网络与光互联,800G/1.6T 高速光模块；硅光与高速率研发,数据中心和通信设备客户；具体大客户名称未充分披露,直接-高,2026-04-24,高端光模块需求与海外客户放量可能使收入利润继续快于行业平均,客户集中、估值拥挤、价格下降和新进入者扩产可能压缩超额利润,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/e20c68b8-9ce5-4751-acfd-9fb5f4e44645.PDF
长飞光纤光缆,601869 / 06869,A / H,网络与光互联,光纤预制棒；光纤光缆；数据中心布线与部分光互联组件,运营商、数据中心和第三方客户；AI 客户与收入占比未单列,间接,2026-03-27,超大集群和跨数据中心连接提升光纤芯数与高规格光纤需求，可能形成后周期弹性,普通光纤供给竞争激烈且价值量低；AI 概念可能远强于实际收入和利润暴露,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703338_c.pdf
